Rep. Allen, Alma A.




Rep. Allison, Steve

Rep. Anchía, Rafael

Rep. Anderson, Charles "Doc"

Rep. Ashby, Trent

Rep. Bailes, Ernest


Rep. Beckley, Michelle

Rep. Bell, Cecil

Rep. Bell, Keith

Rep. Bernal, Diego M.

Rep. Biedermann, Kyle

Rep. Bonnen, Greg


Rep. Bowers, Rhetta

Rep. Buckley, Brad

Rep. Bucy, John III

Rep. Burns, DeWayne

Rep. Burrows, Dustin

Rep. Button, Angie Chen


Rep. Cain, Briscoe

Rep. Campos, Elizabeth "Liz"

Rep. Canales, Terry

Rep. Capriglione, Giovanni

Rep. Cason, Jeff

Rep. Clardy, Travis


Rep. Cole, Sheryl

Rep. Collier, Nicole

Rep. Cook, David

Rep. Cortez, Philip

Rep. Craddick, Tom

Rep. Crockett, Jasmine


Rep. Cyrier, John P.

Rep. Darby, Drew

Rep. Davis, Yvonne

Rep. Dean, Jay

Rep. Deshotel, Joe

Rep. Dominguez, Alex


Rep. Dutton Jr., Harold V.

Rep. Fierro, Art

Rep. Frank, James

Rep. Frullo, John

Rep. Gates, Gary

Rep. Geren, Charlie


Rep. Gervin-Hawkins, Barbara

Rep. Goldman, Craig

Rep. González, Jessica

Rep. González, Mary

Rep. Goodwin, Vikki

Rep. Guerra, Bobby


Rep. Guillen, Ryan

Rep. Harless, Sam

Rep. Harris, Cody

Rep. Harrison, Brian

Rep. Hefner, Cole

Rep. Hernandez, Ana


Rep. Herrero, Abel

Rep. Hinojosa, Gina

Rep. Holland, Justin

Rep. Howard, Donna

Rep. Huberty, Dan

Rep. Hull, Lacey


Rep. Hunter, Todd

Rep. Israel, Celia

Rep. Jetton, Jacey

Rep. Johnson, Ann

Rep. Johnson, Jarvis

Rep. Johnson, Julie


Rep. Kacal, Kyle

Rep. King, Ken

Rep. King, Phil

Rep. King, Tracy O.

Rep. Klick, Stephanie

Rep. Krause, Matt


Rep. Kuempel, John

Rep. Lambert, Stan

Rep. Landgraf, Brooks

Rep. Larson, Lyle

Rep. Leach, Jeff

Rep. Leman, Ben


Rep. Longoria, Oscar

Rep. Lopez, Ray

Rep. Lozano, J.M.


Rep. Lujan, John

Rep. Martinez , Armando "Mando"

Rep. Martinez Fischer, Trey


Rep. Metcalf, Will

Rep. Meyer, Morgan

Rep. Meza, Thresa "Terry"

Rep. Middleton, Mayes

Rep. Minjarez, Ina

Rep. Moody, Joe


Rep. Morales, Christina

Rep. Morales, Eddie

Rep. Morales Shaw, Penny


Rep. Morrison, Geanie W.

Rep. Muñoz Jr., Sergio

Rep. Murphy, Jim


Rep. Murr, Andrew

Rep. Neave, Victoria

Rep. Noble, Candy

Rep. Oliverson, Tom

Rep. Ordaz Perez, Claudia

Rep. Ortega, Evelina "Lina"


Rep. Paddie, Chris

Rep. Parker, Tan

Rep. Patterson, Jared

Rep. Paul, Dennis

Rep. Perez, Mary Ann

Rep. Phelan, Dade


Rep. Price, Four
