Alvarado, Carol
Bettencourt, Paul
Birdwell, Brian
Blanco, César
Buckingham, Dawn
Campbell, Donna
Creighton, Brandon
Eckhardt, Sarah
Gutierrez, Roland
Hall, Bob
Hancock, Kelly
Hinojosa, Juan "Chuy"
Huffman, Joan
Hughes, Bryan
Johnson, Nathan
Kolkhorst, Lois
Lucio, Eddie, Jr.
Menéndez, José
Miles, Borris
Nelson, Jane
Nichols, Robert
Paxton, Angela
Perry, Charles
Powell, Beverly
Schwertner, Charles
Seliger, Kel
Springer, Drew
Taylor, Larry
West, Royce
Whitmire, John
Zaffirini, Judith
